Timestamp,Hour,Weekday,Month,DayOfMonth,DayOfYear,Week,IsWeekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Weekday_sin,Weekday_cos,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO_class
2004-03-10 18:00:00,18.0,2.0,3.0,10.0,70.0,11,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.3634753972514799,1.2166223210854887,-0.544140159527853,0.2378271470380479,0.39555189759257814,-0.3331143378632779,0.8839365358778161,0.08609028503306541,0.6906310457141346,0.6165169584630384,-0.550741582046173,-0.016219415661324003,-0.6798006769148967,high
2004-03-10 19:00:00,19.0,2.0,3.0,10.0,70.0,11,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.062389840697965465,0.8979863282038878,-0.803794207290518,-0.10085231943032896,0.0510490678820536,-0.6412143718298139,1.3515658333022356,-0.3626221411445795,0.2993410864455344,-0.13756107868860648,-0.585314601447617,-0.08681036306197688,-0.761725264171704,mid
2004-03-10 20:00:00,20.0,2.0,3.0,10.0,70.0,11,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.07956523861851644,1.4134269049241248,-0.9677862374564117,-0.1550410340652693,-0.009522858220895769,-0.5042810234002423,1.21682518828164,0.10745754342247707,0.28757296736978705,0.12229013681635227,-0.7466553586543571,0.2837921107914519,-0.6990770503870868,mid
2004-03-10 21:00:00,21.0,2.0,3.0,10.0,70.0,11,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.07956523861851644,1.2915954958811597,-1.0224502475117097,-0.12794667674779925,0.024548850212013255,-0.30377147748551253,1.0266031011937407,0.2783956105377704,0.37289183066895554,0.4509254976020354,-0.8503744168586899,0.6367468477947176,-0.6064997304219639,mid
2004-03-10 22:00:00,22.0,2.0,3.0,10.0,70.0,11,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.346299999330929,0.8042698597092993,-1.2206072839621644,-0.49372050053364613,-0.39945463250863233,-0.5042810234002423,1.4744175978798373,0.1501920602013004,0.09634103238889226,0.21400233052398476,-0.8273257372577272,0.6132165319945,-0.6011733640678062,mid
2004-03-10 23:00:00,23.0,2.0,3.0,10.0,70.0,11,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.6302101579638926,0.4528331028545923,-1.3094363003020235,-0.7375697163908774,-0.7250287353119852,-0.7096810460445997,1.9975283373715609,-0.27715310758693285,-0.18903585519798152,-0.19615498022403835,-0.8273257372577272,0.5896862161942823,-0.6113188237900112,low
2004-03-11 00:00:00,0.0,3.0,3.0,11.0,71.0,11,0,0.0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.6302101579638926,0.3966032217578392,-1.357267309100409,-0.8865886816369634,-0.9521734581980453,-0.8417239177445437,2.4928983558296323,-0.6831310169857545,-0.3655576413341921,-0.7464281424698334,-0.8158013974572456,0.44850432139297575,-0.6734597645885185,low
2004-03-11 01:00:00,1.0,3.0,3.0,11.0,71.0,11,0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.7721652372803743,0.16699787394609727,-1.357267309100409,-0.9272302176131685,-1.0203168750638634,-0.8417239177445437,2.4572317145006513,-0.7044982753751662,-0.3655576413341921,-0.7540708252788028,-0.8849474362601343,0.6367468477947176,-0.6483497517760605,low
2004-03-11 02:00:00,2.0,3.0,3.0,11.0,71.0,11,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.8431427769386153,-0.029806709892538648,-1.4050983178987948,-1.0627020042005193,-1.2588188340942266,-0.9248620221482121,2.9565646931063876,-1.0463744096057528,-0.5332533381635922,-1.0343025282743465,-0.8849474362601343,0.6190991109445545,-0.6620461224010376,low
2004-03-11 03:00:00,3.0,3.0,3.0,11.0,71.0,11,0,0.7071067811865475,0.7071067811865476,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-1.0560753959133378,-0.4234158775698105,-1.439263324183356,-1.1439850761529298,-1.4405346124030747,-0.8622639200089794,3.4558976717121235,-0.9822726344375178,-0.6538765586900027,-1.3374622796967983,-0.9310447954620598,0.6485120056948266,-0.6952725029912596,low
